date,year,month,day,doy,P,etp,Rg,T
2016-01-01,2016,1,1,1,7.835373,0.709015,532.193548387097,4.548805
2016-01-02,2016,1,2,2,16.077444,0.392095,532.193548387097,3.017884
2016-01-03,2016,1,3,3,9.568489,0.700193,532.193548387097,0.652335
2016-01-04,2016,1,4,4,3.173851,0.474838,532.193548387097,0.484191
2016-01-05,2016,1,5,5,0.034503,0.627007,532.193548387097,-0.397703
2016-01-06,2016,1,6,6,1.867297,0.209737,532.193548387097,-2.131802
2016-01-07,2016,1,7,7,17.194035,0.292392,532.193548387097,0.089862
2016-01-08,2016,1,8,8,0.312574,0.326831,532.193548387097,2.792985
2016-01-09,2016,1,9,9,9.553145,0.368777,532.193548387097,3.077449
2016-01-10,2016,1,10,10,3.323686,0.557572,532.193548387097,4.177827
2016-01-11,2016,1,11,11,4.562758,0.633195,532.193548387097,3.830189
2016-01-12,2016,1,12,12,3.501238,0.462635,532.193548387097,-0.18323
2016-01-13,2016,1,13,13,0.522244,0.831651,532.193548387097,-3.410938
2016-01-14,2016,1,14,14,5.946969,0.372131,532.193548387097,-1.883235
2016-01-15,2016,1,15,15,4.093949,0.909699,532.193548387097,-3.708127
2016-01-16,2016,1,16,16,2.403011,0.714605,532.193548387097,-4.966181
2016-01-17,2016,1,17,17,0.028589,0.719715,532.193548387097,-6.112947
2016-01-18,2016,1,18,18,2.73093,0.463433,532.193548387097,-5.319352
2016-01-19,2016,1,19,19,0.438706,0.500859,532.193548387097,-1.870587
2016-01-20,2016,1,20,20,0.156139,0.610208,532.193548387097,-1.333929
2016-01-21,2016,1,21,21,0,0.702207,532.193548387097,-2.802861
2016-01-22,2016,1,22,22,0.235216,0.796973,532.193548387097,-2.229255
2016-01-23,2016,1,23,23,0,0.857568,532.193548387097,1.292511
2016-01-24,2016,1,24,24,0,0.91476,532.193548387097,1.70927
2016-01-25,2016,1,25,25,0,1.262637,532.193548387097,2.746875
2016-01-26,2016,1,26,26,0,1.055258,532.193548387097,4.06016
2016-01-27,2016,1,27,27,0,1.084249,532.193548387097,5.312292
2016-01-28,2016,1,28,28,0.321403,1.033782,532.193548387097,4.749163
2016-01-29,2016,1,29,29,0.001451,0.896024,532.193548387097,3.170265
2016-01-30,2016,1,30,30,5.47737,0.952984,532.193548387097,3.526375
2016-01-31,2016,1,31,31,4.439855,0.600951,532.193548387097,5.204976
2016-02-01,2016,2,1,32,0.005171,0.715448,916.142857142857,6.505227
2016-02-02,2016,2,2,33,0.067231,1.192807,916.142857142857,6.668329
2016-02-03,2016,2,3,34,7.728889,0.640795,916.142857142857,0.637757
2016-02-04,2016,2,4,35,0.343656,1.068443,916.142857142857,-0.261225
2016-02-05,2016,2,5,36,0,1.275471,916.142857142857,3.639762
2016-02-06,2016,2,6,37,2.69075,1.663714,916.142857142857,5.608314
2016-02-07,2016,2,7,38,27.724584,0.558157,916.142857142857,1.226194
2016-02-08,2016,2,8,39,1.353438,0.916559,916.142857142857,0.894954
2016-02-09,2016,2,9,40,13.446736,0.55707,916.142857142857,2.189225
2016-02-10,2016,2,10,41,0.278164,0.619459,916.142857142857,-2.368863
2016-02-11,2016,2,11,42,2.563063,0.75076,916.142857142857,-2.105327
2016-02-12,2016,2,12,43,9.288095,0.357793,916.142857142857,-0.93784
2016-02-13,2016,2,13,44,7.443853,0.867936,916.142857142857,1.121375
2016-02-14,2016,2,14,45,3.113415,0.724201,916.142857142857,1.075566
2016-02-15,2016,2,15,46,0.407711,0.756234,916.142857142857,-1.678882
