date,year,month,day,doy,P,etp,Rg,T
2017-01-01,2017,1,1,1,0,0.870457,532.193548387097,-0.476944
2017-01-02,2017,1,2,2,0,0.661375,532.193548387097,-1.378283
2017-01-03,2017,1,3,3,0,0.540509,532.193548387097,-3.925753
2017-01-04,2017,1,4,4,0.099426,1.085225,532.193548387097,-2.861695
2017-01-05,2017,1,5,5,0,1.215192,532.193548387097,-3.891488
2017-01-06,2017,1,6,6,0,0.764345,532.193548387097,-7.152242
2017-01-07,2017,1,7,7,0.011751,0.993538,532.193548387097,-5.627232
2017-01-08,2017,1,8,8,0.031664,0.738832,532.193548387097,-2.336078
2017-01-09,2017,1,9,9,0.002027,0.604348,532.193548387097,-4.455865
2017-01-10,2017,1,10,10,1.735459,0.421441,532.193548387097,-2.907158
2017-01-11,2017,1,11,11,0.003869,0.732071,532.193548387097,-3.157688
2017-01-12,2017,1,12,12,5.317002,0.733574,532.193548387097,2.594675
2017-01-13,2017,1,13,13,10.851706,0.433284,532.193548387097,-4.07194
2017-01-14,2017,1,14,14,3.260315,0.396795,532.193548387097,-5.895576
2017-01-15,2017,1,15,15,0,0.549744,532.193548387097,-8.258291
2017-01-16,2017,1,16,16,0.104749,0.64473,532.193548387097,-8.265791
2017-01-17,2017,1,17,17,0.092204,0.47982,532.193548387097,-10.346362
2017-01-18,2017,1,18,18,0,0.535509,532.193548387097,-9.288778
2017-01-19,2017,1,19,19,0.041,0.729573,532.193548387097,-5.647917
2017-01-20,2017,1,20,20,0.043378,0.663876,532.193548387097,-4.678214
2017-01-21,2017,1,21,21,0,0.853972,532.193548387097,-2.654307
2017-01-22,2017,1,22,22,0,0.362875,532.193548387097,-0.398153
2017-01-23,2017,1,23,23,0,0.892445,532.193548387097,-0.892303
2017-01-24,2017,1,24,24,0.043929,0.734406,532.193548387097,-5.912817
2017-01-25,2017,1,25,25,0.384985,0.438032,532.193548387097,-3.841869
2017-01-26,2017,1,26,26,0.585616,1.184942,532.193548387097,1.502309
2017-01-27,2017,1,27,27,0,1.542316,532.193548387097,3.785991
2017-01-28,2017,1,28,28,0.43515,0.667923,532.193548387097,2.493982
2017-01-29,2017,1,29,29,0,0.622815,532.193548387097,0.823095
2017-01-30,2017,1,30,30,3.121087,0.54393,532.193548387097,1.226818
2017-01-31,2017,1,31,31,0.79928,0.28781,532.193548387097,2.817367
2017-02-01,2017,2,1,32,0,0.728206,916.142857142857,4.905015
2017-02-02,2017,2,2,33,19.389941,1.238523,916.142857142857,6.106747
2017-02-03,2017,2,3,34,9.535248,0.6799,916.142857142857,1.351679
2017-02-04,2017,2,4,35,11.066711,0.90916,916.142857142857,0.342518
2017-02-05,2017,2,5,36,18.285336,0.468621,916.142857142857,-0.15845
2017-02-06,2017,2,6,37,2.666611,0.882639,916.142857142857,0.170271
2017-02-07,2017,2,7,38,2.113533,0.622509,916.142857142857,0.897056
2017-02-08,2017,2,8,39,5.704622,0.382412,916.142857142857,0.214541
2017-02-09,2017,2,9,40,5.946701,0.279177,916.142857142857,-0.887158
2017-02-10,2017,2,10,41,0.337665,0.758907,916.142857142857,-0.24447
2017-02-11,2017,2,11,42,0.589004,0.764467,916.142857142857,0.391102
2017-02-12,2017,2,12,43,0,1.614768,916.142857142857,4.848325
2017-02-13,2017,2,13,44,0.883846,1.48465,916.142857142857,6.290726
2017-02-14,2017,2,14,45,0,1.030244,916.142857142857,5.486986
2017-02-15,2017,2,15,46,0,0.719757,916.142857142857,4.088978
2017-02-16,2017,2,16,47,0,1.163959,916.142857142857,2.807433
2017-02-17,2017,2,17,48,0,1.468406,916.142857142857,3.149304
2017-02-18,2017,2,18,49,0,1.482761,916.142857142857,2.940391
2017-02-19,2017,2,19,50,0,1.725334,916.142857142857,1.746158
2017-02-20,2017,2,20,51,0,1.555598,916.142857142857,1.847111
2017-02-21,2017,2,21,52,0.061335,1.581692,916.142857142857,4.398675
2017-02-22,2017,2,22,53,0,1.984119,916.142857142857,5.393399
2017-02-23,2017,2,23,54,0.071082,2.081328,916.142857142857,6.165473
2017-02-24,2017,2,24,55,0.048883,1.254192,916.142857142857,1.687292
2017-02-25,2017,2,25,56,0,1.653902,916.142857142857,0.638659
2017-02-26,2017,2,26,57,0,1.960905,916.142857142857,3.991205
2017-02-27,2017,2,27,58,6.08911,1.680691,916.142857142857,4.419394
2017-02-28,2017,2,28,59,8.903811,0.647829,916.142857142857,1.902092
2017-03-01,2017,3,1,60,5.249201,0.704136,1355.25806451613,0.568883
2017-03-02,2017,3,2,61,0.080851,1.106812,1355.25806451613,2.877267
2017-03-03,2017,3,3,62,0.671261,2.045866,1355.25806451613,4.945261
2017-03-04,2017,3,4,63,15.629874,0.841195,1355.25806451613,1.689899
2017-03-05,2017,3,5,64,5.869684,0.567117,1355.25806451613,-0.087492
2017-03-06,2017,3,6,65,29.787627,0.988584,1355.25806451613,0.922655
2017-03-07,2017,3,7,66,3.876276,0.843498,1355.25806451613,-1.618326
2017-03-08,2017,3,8,67,0.095131,1.147243,1355.25806451613,2.137576
2017-03-09,2017,3,9,68,0,1.397465,1355.25806451613,5.841345
2017-03-10,2017,3,10,69,0,2.101782,1355.25806451613,6.253045
2017-03-11,2017,3,11,70,0,2.308618,1355.25806451613,6.595982
2017-03-12,2017,3,12,71,0,1.875806,1355.25806451613,6.237971
2017-03-13,2017,3,13,72,0,1.913722,1355.25806451613,5.904412
