cat;ID_PARCEL;cat_new
769;;14388
457;;14076
1411;;15030
1124;;14743
1384;;15003
1029;;14648
75;;13694
236;;13855
1766;;15385
1671;;15290
717;;14336
683;;14302
138;;13757
544;;14163
1829;;15448
912;;14531
1338;;14957
553;;14172
1186;;14805
289;;13908
1195;;14814
137;;13756
146;;13765
1828;;15447
1837;;15456
351;;13970
1359;;14978
310;;13929
931;;14550
1598;;15217
744;;14363
549;;14168
1191;;14810
142;;13761
1473;;15092
1081;;14700
32;;13651
1723;;15342
424;;14043
780;;14399
1817;;15436
674;;14293
768;;14387
772;;14391
1316;;14935
1414;;15033
267;;13886
878;;14497
978;;14597
1645;;15264
1325;;14944
1504;;15123
909;;14528
276;;13895
918;;14537
1272;;14891
1569;;15188
239;;13858
1914;;15533
779;;14398
471;;14090
1421;;15040
1386;;15005
977;;14596
337;;13956
1644;;15263
979;;14598
1422;;15041
1579;;15198
865;;14484
1024;;14643
1039;;14658
247;;13866
788;;14407
246;;13865
1666;;15285
1665;;15284
530;;14149
1507;;15126
596;;14215
1172;;14791
379;;13998
1814;;15433
1261;;14880
1021;;14640
212;;13831
1430;;15049
1903;;15522
936;;14555
1410;;15029
639;;14258
1028;;14647
235;;13854
1670;;15289
877;;14496
1122;;14741
73;;13692
1764;;15383
715;;14334
458;;14077
1125;;14744
595;;14214
76;;13695
1767;;15386
718;;14337
1238;;14857
1344;;14963
311;;13930
1032;;14651
255;;13874
1091;;14710
42;;13661
1733;;15352
1519;;15138
1560;;15179
684;;14303
1326;;14945
520;;14139
277;;13896
1162;;14781
919;;14538
369;;13988
1570;;15189
1804;;15423
521;;14140
1011;;14630
1163;;14782
189;;13808
370;;13989
1864;;15483
854;;14473
1265;;14884
216;;13835
1646;;15265
1907;;15526
1237;;14856
188;;13807
1879;;15498
470;;14089
1121;;14740
72;;13691
831;;14450
1480;;15099
873;;14492
597;;14216
447;;14066
1674;;15293
1239;;14858
1098;;14717
881;;14500
190;;13809
49;;13668
1865;;15484
1740;;15359
858;;14477
1500;;15119
691;;14310
451;;14070
1523;;15142
1357;;14976
1457;;15076
308;;13927
950;;14569
1601;;15220
474;;14093
1141;;14760
92;;13711
1805;;15424
1763;;15382
1783;;15402
872;;14491
1603;;15222
408;;14027
527;;14146
1153;;14772
830;;14449
360;;13979
1795;;15414
1002;;14621
734;;14353
1360;;14979
1514;;15133
327;;13946
552;;14171
953;;14572
714;;14333
1456;;15075
1620;;15239
465;;14084
620;;14239
1262;;14881
213;;13832
1888;;15507
937;;14556
554;;14173
1196;;14815
147;;13766
629;;14248
1012;;14631
1838;;15457
789;;14408
630;;14249
1256;;14875
223;;13842
1118;;14737
855;;14474
69;;13688
1744;;15363
1333;;14952
711;;14330
1356;;14975
284;;13903
307;;13926
816;;14435
949;;14568
1458;;15077
1600;;15219
1604;;15223
1075;;14694
409;;14028
26;;13645
1076;;14695
1337;;14956
1717;;15336
27;;13646
288;;13907
1718;;15337
555;;14174
1197;;14816
1515;;15134
1898;;15517
466;;14085
1132;;14751
1133;;14752
423;;14042
83;;13702
84;;13703
669;;14288
1774;;15393
1775;;15394
849;;14468
571;;14190
1491;;15110
1213;;14832
164;;13783
725;;14344
1481;;15100
1855;;15474
806;;14425
1432;;15051
1074;;14693
432;;14051
399;;14018
25;;13644
1099;;14718
1716;;15335
50;;13669
667;;14286
1741;;15360
1309;;14928
692;;14311
260;;13879
902;;14521
1431;;15050
148;;13767
567;;14186
1193;;14812
144;;13763
1835;;15454
786;;14405
1428;;15047
1046;;14665
1033;;14652
1334;;14953
1050;;14669
240;;13859
285;;13904
1;;13620
1675;;15294
1692;;15311
1194;;14813
668;;14287
1271;;14890
253;;13872
222;;13841
145;;13764
1897;;15516
848;;14467
1490;;15109
726;;14345
1553;;15172
926;;14545
930;;14549
1839;;15458
1597;;15216
927;;14546
548;;14167
1578;;15197
1190;;14809
529;;14148
141;;13760
441;;14060
1816;;15435
1108;;14727
59;;13678
1750;;15369
701;;14320
1311;;14930
262;;13881
1171;;14790
790;;14409
120;;13739
1367;;14986
318;;13937
944;;14563
1611;;15230
1343;;14962
294;;13913
783;;14402
1836;;15455
1310;;14929
261;;13880
378;;13997
1813;;15432
1672;;15291
903;;14522
1554;;15173
1020;;14639
760;;14379
882;;14501
638;;14257
643;;14262
442;;14061
1264;;14883
1524;;15143
1109;;14728
231;;13850
475;;14094
60;;13679
1352;;14971
1906;;15525
1142;;14761
319;;13938
93;;13712
920;;14539
1768;;15387
1587;;15206
1555;;15174
1577;;15196
735;;14354
1361;;14980
312;;13931
954;;14573
1621;;15240
538;;14157
562;;14181
528;;14147
1180;;14799
1170;;14789
131;;13750
761;;14380
1416;;15035
377;;13996
1034;;14653
1812;;15431
241;;13860
1019;;14638
1409;;15028
637;;14256
787;;14406
572;;14191
762;;14381
1429;;15048
1214;;14833
1047;;14666
165;;13784
254;;13873
1840;;15459
895;;14514
1673;;15292
1521;;15140
1402;;15021
353;;13972
1204;;14823
155;;13774
1846;;15465
1404;;15023
880;;14499
1027;;14646
1522;;15141
234;;13853
1669;;15288
472;;14091
1139;;14758
90;;13709
1781;;15400
1822;;15441
732;;14351
355;;13974
1285;;14904
997;;14616
1648;;15267
1403;;15022
473;;14092
1140;;14759
91;;13710
492;;14111
1927;;15546
110;;13729
1785;;15404
615;;14234
945;;14564
736;;14355
1612;;15231
563;;14182
354;;13973
996;;14615
1663;;15282
1676;;15295
614;;14233
1374;;14993
1279;;14898
857;;14476
325;;13944
230;;13849
1499;;15118
967;;14586
797;;14416
1905;;15524
1240;;14859
773;;14392
207;;13826
1882;;15501
856;;14475
1498;;15117
1241;;14860
1618;;15237
807;;14426
192;;13811
876;;14495
1518;;15137
1751;;15370
1378;;14997
449;;14068
469;;14088
329;;13948
1883;;15502
1116;;14735
1120;;14739
971;;14590
67;;13686
450;;14069
87;;13706
1782;;15401
1638;;15257
1433;;15052
702;;14321
1758;;15377
1762;;15381
1117;;14736
68;;13687
1759;;15378
589;;14208
1231;;14850
182;;13801
1857;;15476
569;;14188
384;;14003
1211;;14830
1051;;14670
1439;;15058
162;;13781
808;;14427
2;;13621
390;;14009
1693;;15312
644;;14263
995;;14614
1662;;15281
1205;;14824
1853;;15472
1041;;14660
804;;14423
248;;13867
1446;;15065
1683;;15302
890;;14509
1532;;15151
713;;14332
1450;;15069
1355;;14974
306;;13925
733;;14352
834;;14453
709;;14328
948;;14567
1615;;15234
397;;14016
883;;14502
1525;;15144
476;;14095
1476;;15095
1415;;15034
1273;;14892
224;;13843
1915;;15534
427;;14046
1094;;14713
833;;14452
45;;13664
566;;14185
710;;14329
1336;;14955
303;;13922
866;;14485
1192;;14811
156;;13775
1048;;14667
483;;14102
1847;;15466
15;;13634
1150;;14769
401;;14020
101;;13720
929;;14548
1596;;15215
1068;;14687
19;;13638
1710;;15329
661;;14280
1475;;15094
1351;;14970
1508;;15127
302;;13921
459;;14078
1126;;14745
77;;13696
426;;14045
1093;;14712
613;;14232
44;;13663
1303;;14922
159;;13778
1143;;14762
1328;;14947
1834;;15453
94;;13713
295;;13914
1690;;15309
641;;14260
1286;;14905
1720;;15339
687;;14306
510;;14129
1929;;15548
112;;13731
1255;;14874
1547;;15166
206;;13825
928;;14547
1595;;15214
1735;;15354
1283;;14902
798;;14417
490;;14109
1925;;15544
921;;14540
1776;;15395
