ID_PARCEL;SURF_PARC;CODE_CULTU;CODE_GROUP;TYPE;ID_EXPL;EPAIS;MAXSTORAGE;RU;ARGILE;LIMON;SABLE;CONDHYDRO;FILTSOIL;TYPESOIL;CODE_ASA;ID_CULTU;ID_TYPE;ID_TYPESOI;ID_ASA;ID_FARM;CLASS_CULT
379236;0,52;AVP;4;Gravitaire;005-16913;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;9;1;1;1;16;6
369176;0,55;TTH;4;Gravitaire;005-16757;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;35;1;1;1;14;8
369297;0,19;PRL;18;Gravitaire;005-16757;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;150;1;1;1;14;4
369279;1,06;BTH;1;Gravitaire;005-16757;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;14;8
369386;0,37;PRL;18;Gravitaire;005-16757;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;150;1;1;1;14;4
369276;0,22;TTH;4;Gravitaire;005-16757;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;35;1;1;1;14;8
369185;0,41;AVP;4;Gravitaire;005-16757;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;9;1;1;1;14;6
369290;0,36;BTH;1;Gravitaire;005-16757;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;14;8
417445;0,81;SA6;16;Gravitaire;005-15820;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;130;1;1;1;6;2
379148;0,36;PPH;18;Gravitaire;005-16913;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;16;4
379149;0,44;BOP;17;Gravitaire;005-16913;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;146;1;1;1;16;1
377143;0,17;AVH;4;Gravitaire;005-16913;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;8;1;1;1;16;8
369369;0,39;PRL;18;Gravitaire;005-16757;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;150;1;1;1;14;4
417438;0,54;PPH;18;Gravitaire;005-16913;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;16;4
