ID_PARCEL;SURF_PARC;CODE_CULTU;CODE_GROUP;TYPE;ID_EXPL;EPAIS;MAXSTORAGE;RU;ARGILE;LIMON;SABLE;CONDHYDRO;FILTSOIL;TYPESOIL;CODE_ASA;ID_CULTU;ID_TYPE;ID_TYPESOI;ID_ASA;ID_FARM;CLASS_CULT
369176;0,55;TTH;4;Gravitaire;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;35;1;1;1;14;8
369279;1,06;BTH;1;Gravitaire;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;14;8
369276;0,22;TTH;4;Gravitaire;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;35;1;1;1;14;8
369290;0,36;BTH;1;Gravitaire;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;14;8
377143;0,17;AVH;4;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;8;1;1;1;16;8
417443;0,55;BTH;1;Gravitaire;005-16479;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;12;8
377161;0,6;BTH;1;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;16;8
377158;0,2;BTH;1;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;16;8
417448;0,45;BTH;1;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;16;8
376888;1,01;AVH;4;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;8;1;1;1;16;8
376632;0,44;BTH;1;Gravitaire;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;14;8
376624;0,85;BTH;1;Gravitaire;005-15820;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;6;8
374952;0,8;BTH;1;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;3;8
405600;0,4;ORH;3;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;6;1;1;1;3;8
405610;0,56;TTH;4;Gravitaire;005-15895;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;35;1;1;1;7;8
405608;0,36;TTH;4;Gravitaire;005-15895;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;35;1;1;1;7;8
405601;0,3;BTH;1;Gravitaire;005-15895;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;1;1;1;1;7;8
420690;0,25;ORH;3;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;6;1;1;1;11;8
420518;2,33;ORH;3;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;6;1;1;1;3;8
420598;0,83;EPE;4;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;28;1;1;1;11;8
420673;0,14;ORH;3;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;6;1;1;1;11;8
420674;0,16;ORH;3;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;6;1;1;1;11;8
420602;0,77;EPE;4;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;28;1;1;1;11;8
