,idParcel,sum_askAffCounter,sum_doSEAffCounter,sum_floodAffCounter,sum_floodDRAffCounter
1,365757,0,0,0,0
2,365758,0,0,0,0
3,365759,7,0,69,12
4,365760,7,0,69,12
5,365761,0,0,0,0
6,369098,0,0,0,0
7,369174,0,0,0,0
8,369176,43,0,69,12
9,369179,0,0,0,0
10,369181,0,0,0,0
11,369185,43,0,69,12
12,369186,0,0,0,0
13,369190,0,0,0,0
14,369191,0,0,0,0
15,369192,0,0,0,0
16,369194,0,0,0,0
17,369195,0,0,0,0
18,369273,0,0,0,0
19,369275,0,0,0,0
20,369276,16,0,69,12
21,369277,0,0,0,0
22,369279,14,0,0,0
23,369282,0,0,0,0
24,369285,0,0,0,0
25,369287,0,0,0,0
26,369288,0,0,0,0
27,369289,0,0,0,0
28,369293,0,0,0,0
29,369295,0,0,0,0
30,369296,0,0,0,0
31,369369,14,0,0,0
32,369370,0,0,0,0
33,369373,0,0,0,0
34,369374,0,0,0,0
35,369375,0,0,0,0
36,369376,0,0,0,0
37,369383,0,0,0,0
38,369384,0,0,0,0
39,369390,0,0,0,0
40,369391,0,0,0,0
41,371468,14,0,0,0
42,374934,14,0,0,0
43,374937,11,0,69,12
44,374942,0,0,0,0
45,374943,40,0,69,12
46,374944,0,0,0,0
47,374945,11,0,69,12
48,374946,0,0,0,0
49,374947,37,0,69,12
50,374948,37,0,69,12
51,374949,37,0,69,12
52,374950,0,0,0,0
53,374951,14,0,0,0
54,374952,14,0,0,0
55,374953,0,0,0,0
56,374954,40,0,69,12
57,374957,0,0,0,0
58,375024,14,0,0,0
59,375025,0,0,0,0
60,375026,29,0,69,12
61,376460,29,0,69,12
62,376461,43,0,69,12
63,376462,0,0,0,0
64,376466,29,0,69,12
65,376469,0,0,0,0
66,376471,0,0,0,0
67,376472,7,0,69,12
68,376474,0,0,0,0
69,376480,0,0,0,0
70,376541,0,0,0,0
71,376543,0,0,0,0
72,376545,0,0,0,0
73,376547,0,0,0,0
74,376548,0,0,0,0
75,376549,43,0,138,24
76,376550,37,0,69,12
77,376554,35,0,69,12
78,376557,28,0,0,0
79,376560,14,0,0,0
80,376563,14,0,0,0
81,376565,0,0,0,0
82,376566,0,0,0,0
83,376624,44,0,69,12
84,376631,29,0,69,12
85,376634,36,0,69,12
86,376635,43,0,69,12
87,376637,0,0,0,0
88,376638,0,0,0,0
89,376888,43,0,69,12
90,376895,0,0,0,0
91,377143,43,0,69,12
92,377156,11,0,69,12
93,377158,43,0,69,12
94,377339,35,0,69,12
95,377354,11,0,69,12
96,377355,0,0,0,0
97,379142,0,0,0,0
98,379146,0,0,0,0
99,379149,14,0,0,0
100,379151,0,0,0,0
101,379159,14,0,0,0
102,379236,11,0,69,12
103,379243,0,0,0,0
104,395071,0,0,0,0
105,395152,0,0,0,0
106,398739,0,0,0,0
107,405599,16,0,69,12
108,405601,14,0,0,0
109,405603,0,0,0,0
110,405604,0,0,0,0
111,405605,37,0,69,12
112,405606,14,0,0,0
113,405607,14,0,0,0
114,405609,43,0,69,12
115,405610,43,0,69,12
116,409335,0,0,0,0
117,410037,0,0,0,0
118,410224,0,0,0,0
119,410232,0,0,0,0
120,410626,0,0,0,0
121,412180,0,0,0,0
122,412430,0,0,0,0
123,417367,43,0,69,12
124,417434,0,0,0,0
125,417438,14,0,0,0
126,417441,0,0,0,0
127,417442,0,0,0,0
128,417443,0,0,69,12
129,417444,0,0,69,12
130,417445,14,0,0,0
131,420428,0,0,0,0
132,420429,0,0,0,0
133,420507,15,0,69,12
134,420509,35,0,69,12
135,420511,36,0,69,12
136,420513,14,0,0,0
137,420518,14,0,0,0
138,420519,35,0,69,12
139,420588,0,0,0,0
140,420590,0,0,0,0
141,420593,36,0,69,12
142,420594,15,0,69,12
143,420598,36,0,69,12
144,420600,36,0,69,12
145,420602,35,0,69,12
146,420605,0,0,0,0
147,420606,36,0,69,12
148,420607,36,0,69,12
149,420608,43,0,69,12
150,420609,0,0,0,0
151,420611,0,0,0,0
152,420612,40,0,69,12
153,420614,70,0,138,24
154,420675,0,0,0,0
155,420684,43,0,69,12
156,420687,37,0,69,12
157,420691,36,0,69,12
158,420692,36,0,69,12
159,430853,0,0,0,0
160,433040,0,0,0,0
161,435456,0,0,0,0
162,435575,43,0,69,12
163,9468154,0,0,0,0
164,9471070,0,0,0,0
165,9471196,0,0,0,0
166,9471232,0,0,0,0
167,9471605,0,0,0,0
168,9471606,0,0,0,0
169,9471607,0,0,0,0
170,9471608,0,0,0,0
171,9471627,0,0,0,0
172,9472498,0,0,0,0
173,9472584,0,0,0,0
174,9472639,14,0,0,0
175,9472641,14,0,0,0
176,9472695,0,0,0,0
177,9472696,14,0,0,0
178,9472697,14,0,0,0
,,2147,0,4071,708
,,78,,56,57
,,"27,525641025641",,"72,6964285714286","12,4210526315789"
