"","day","q_cumec","inquiries","abandoned","unrespect","release_cumec"
"1",1,0.09,0,0,0,0
"2",2,0.09,0,0,0,0
"3",3,0.09,0,0,0,0
"4",4,0.09,0,0,0,0
"5",5,0.09,0,0,0,0
"6",6,0.09,0,0,0,0
"7",7,0.09,0,0,0,0
"8",8,0.09,0,0,0,0
"9",9,0.15,6,0,0,0
"10",10,0.15,0,0,0,0
"11",11,0.15,0,0,0,0.00336513
"12",12,0.15,0,0,0,0.00336513
"13",13,0.15,0,0,0,0.00336513
"14",14,0.15,5,0,0,0.00336513
"15",15,0.15,7,0,0,0
"16",16,0.15,7,0,0,0
"17",17,0.15,7,0,0,0.00336513
"18",18,0.15,0,0,0,0.00336513
"19",19,0.15,0,0,0,0.00336513
"20",20,0.15,0,0,0,0.00336513
"21",21,0.15,7,0,0,0.00336513
"22",22,0.15,7,0,0,0.00336513
"23",23,0.15,7,0,0,0.00336513
"24",24,0.15,7,0,0,0.00336513
"25",25,0.15,7,0,0,0.00336513
"26",26,0.15,7,0,0,0.00336513
"27",27,0.15,0,0,0,0.00336513
"28",28,0.15,7,0,0,0.00336513
"29",29,0.15,7,0,0,0.00336513
"30",30,0.15,2,24,0,0.00336513
"31",31,0.15,0,24,0,0
"32",32,0.15,0,24,0,0.00336513
"33",33,0.15,0,24,0,0.00336513
"34",34,0.15,0,24,0,0.00336513
"35",35,0.15,0,24,0,0.00336513
"36",36,0.15,0,24,0,0.00336513
"37",37,0.15,0,24,0,0.00336513
"38",38,0.15,0,24,0,0.00336513
"39",39,0.15,0,24,0,0
"40",40,0.15,0,24,0,0.00336513
"41",41,0.15,0,24,0,0.00336513
"42",42,0.15,0,24,0,0.00336513
"43",43,0.15,0,24,0,0.00336513
"44",44,0.15,0,24,0,0.00336513
"45",45,0.15,0,24,0,0.00336513
"46",46,0.15,0,24,0,0.00336513
"47",47,0.15,0,24,0,0.00336513
"48",48,0.15,0,24,0,0.00336513
"49",49,0.15,0,24,0,0.00336513
"50",50,0.15,0,24,0,0.00336513
"51",51,0.15,0,24,0,0.00336513
"52",52,0.15,0,24,0,0.00336513
"53",53,0.15,0,24,0,0.00336513
"54",54,0.15,0,24,0,0.00336513
"55",55,0.15,0,24,0,0.00336513
"56",56,0.15,1,24,0,0.00336513
"57",57,0.15,0,24,0,0
"58",58,0.15,0,24,0,0.00336513
"59",59,0.15,0,24,0,0.00336513
"60",60,0.15,0,24,0,0.00336513
"61",61,0.15,0,24,0,0.00336513
"62",62,0.15,0,24,0,0.00336513
