ID_PARCEL;SURF_PARC;CODE_CULTU;CODE_GROUP;TYPE;ID_EXPL;EPAIS;MAXSTORAGE;RU;ARGILE;LIMON;SABLE;CONDHYDRO;FILTSOIL;TYPESOIL
379236;0,52;AVP;4;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369176;0,55;TTH;4;Gravitaire;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369297;0,19;PRL;18;Gravitaire;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369279;1,06;BTH;1;Gravitaire;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369386;0,37;PRL;18;Gravitaire;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369276;0,22;TTH;4;Gravitaire;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369185;0,41;AVP;4;Gravitaire;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369290;0,36;BTH;1;Gravitaire;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
417445;0,81;SA6;16;Gravitaire;005-15820;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
379148;0,36;PPH;18;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
379149;0,44;BOP;17;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
377143;0,17;AVH;4;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
369369;0,39;PRL;18;Gravitaire;005-16757;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
417438;0,54;PPH;18;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
379159;0,46;PPH;18;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
377156;0,97;PTR;19;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
377354;0,17;PRL;18;Gravitaire;005-15487;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
417443;0,55;BTH;1;Gravitaire;005-16479;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
417444;0,39;PPH;18;Gravitaire;005-16479;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
377161;0,6;BTH;1;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
379147;0,14;PRL;18;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
377158;0,2;BTH;1;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
377342;0,4;SA6;16;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
417448;0,45;BTH;1;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
377339;0,6;SA6;16;Gravitaire;005-16465;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
417367;0,52;PRL;18;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
376888;1,01;AVH;4;Gravitaire;005-16913;36;154;41,7;25,3;39,8;34,9;14860,7;0;LIMON
